pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt
K2-217 b,K2-217,K2,14.074524,0.0088,3.5789999999999997,0.319,12.5,0.0393,0.19,114.0,2100.0
K2-218 b,K2-218,K2,8.679885,0.0088,2.569,0.22899999999999998,7.13,0.0224,0.19,114.0,2100.0
K2-219 b,K2-219,K2,3.901287,0.0088,1.348,0.12,2.38,0.0075,0.19,114.0,2100.0
K2-219 c,K2-219,K2,6.66767,0.0088,1.4380000000000002,0.128,2.66,0.00837,0.19,114.0,2100.0
K2-219 d,K2-219,K2,11.137278,0.0088,2.576,0.23,7.16,0.0225,0.19,114.0,2100.0
K2-22 b,K2-22,K2,0.381078,0.0088,2.5,0.223,444.962,1.4,0.19,114.0,2100.0
K2-220 b,K2-220,K2,13.683256,0.1104,2.39,0.213,6.3,0.0198,0.0,273.0,758.0
K2-221 b,K2-221,K2,2.399094,0.1211,1.679,0.15,3.46,0.0109,0.0,273.0,801.0
K2-222 b,K2-222,K2,15.387063,0.1211,2.39,0.213,6.3,0.0198,0.0,273.0,801.0
K2-223 b,K2-223,K2,0.50565,0.0127,0.89,0.079,0.64,0.00201,0.0,273.0,2271.0
K2-223 c,K2-223,K2,4.56327,0.0549,1.57,0.14,3.09,0.00972,0.0,273.0,1091.0
K2-224 b,K2-224,K2,4.47904,0.0516,1.56,0.139,3.05,0.009609999999999999,0.0,273.0,1002.0
K2-224 c,K2-224,K2,10.09489,0.0886,2.41,0.215,6.39,0.0201,0.0,273.0,764.0
K2-225 b,K2-225,K2,15.87209,0.134,3.49,0.311,12.0,0.0377,0.0,273.0,902.0
K2-226 b,K2-226,K2,3.27108,0.0413,1.54,0.13699999999999998,2.99,0.0094,0.0,273.0,1120.0
K2-227 b,K2-227,K2,13.621832,0.0338,1.666,0.149,3.41,0.0107,0.0,273.0,914.0
K2-228 b,K2-228,K2,2.69828,0.0338,1.21,0.10800000000000001,1.92,0.00606,0.0,273.0,914.0
K2-229 b,K2-229,K2,0.58426,0.0131,1.14,0.102,2.49,0.00783,0.0,273.0,1818.0
K2-229 c,K2-229,K2,8.32727,0.0769,2.03,0.18100000000000002,21.3,0.06702000000000001,0.0,273.0,750.0
K2-230 b,K2-230,K2,2.86041,0.0409,1.96,0.175,4.5,0.0142,0.258,273.0,1529.0
K2-231 b,K2-231,K2,13.841901,0.10355999999999999,2.5,0.223,6.8,0.0214,0.258,273.0,1030.0
K2-232 b,K2-232,K2,11.168454,0.10355999999999999,11.209000000000001,1.0,126.49633999999999,0.398,0.258,273.0,1030.0
K2-233 b,K2-233,K2,2.46746,0.03317,1.3980000000000001,0.125,2.54,0.00798,0.0,273.0,1040.0
K2-233 c,K2-233,K2,7.06142,0.06687,1.335,0.11900000000000001,2.34,0.007379999999999999,0.0,67.1,728.0
K2-233 d,K2-233,K2,24.3662,0.1527,2.64,0.23600000000000002,7.46,0.0235,0.0,12.9,482.0
K2-237 b,K2-237,K2,2.1805577,0.0353,18.405,1.642,392.83788,1.236,0.0,60.1,1838.0
K2-238 b,K2-238,K2,3.20466,0.046,14.572000000000001,1.3,273.3338,0.86,0.0,60.1,1587.0
K2-239 b,K2-239,K2,5.24,0.0441,1.1,0.098,1.37,0.0043,0.06,60.1,502.0
K2-239 c,K2-239,K2,7.775,0.0576,1.0,0.08900000000000001,0.972,0.0030600000000000002,0.06,60.1,427.0
K2-239 d,K2-239,K2,10.115,0.0685,1.1,0.098,1.37,0.0043,0.06,60.1,399.0
K2-24 b,K2-24,K2,20.88977,0.154,5.4,0.48200000000000004,19.0,0.05977999999999999,0.06,60.1,709.0
K2-24 c,K2-24,K2,42.3391,0.247,7.5,0.669,15.4,0.04845,0.07,23.4,560.0
K2-240 b,K2-240,K2,6.034,0.0513,2.0,0.17800000000000002,4.66,0.0147,0.27,5.8,586.0
K2-240 c,K2-240,K2,20.523,0.1159,1.8,0.161,3.89,0.0123,0.27,5.8,389.0
K2-241 b,K2-241,K2,26.8199,0.1567,2.55,0.22699999999999998,7.04,0.0221,0.27,5.8,507.0
K2-242 b,K2-242,K2,6.51389,0.0494,2.54,0.22699999999999998,6.99,0.022,0.27,5.8,416.0
K2-243 b,K2-243,K2,11.54182,0.1087,2.17,0.19399999999999998,5.35,0.0168,0.27,5.8,1035.0
K2-243 c,K2-243,K2,24.94598,0.1817,2.01,0.179,4.7,0.0148,0.27,5.8,801.0
K2-244 b,K2-244,K2,21.06884,0.1418,1.75,0.156,3.71,0.0117,0.27,5.8,638.0
K2-245 b,K2-245,K2,11.89307,0.0959,4.34,0.387,17.4,0.0546,0.27,5.8,923.0
K2-246 b,K2-246,K2,5.76918,0.0602,3.49,0.311,12.0,0.0377,0.27,5.8,977.0
K2-247 b,K2-247,K2,2.25021,0.0304,2.12,0.18899999999999997,5.14,0.0162,0.27,5.8,979.0
K2-247 c,K2-247,K2,6.49424,0.0615,2.19,0.195,5.43,0.0171,0.27,5.8,688.0
K2-248 b,K2-248,K2,7.17256,0.0699,2.57,0.22899999999999998,7.13,0.0224,0.27,5.8,886.0
K2-249 b,K2-249,K2,12.409,0.1151,2.79,0.249,8.2,0.0258,0.27,5.8,1061.0
K2-25 b,K2-25,K2,3.484552,0.0459,3.43,0.306,11.6,0.0366,0.27,5.8,958.0
K2-250 b,K2-250,K2,4.01457,0.0459,2.44,0.218,6.53,0.0205,0.0,5.8,958.0
K2-251 b,K2-251,K2,9.30075,0.0694,2.35,0.21,6.12,0.0193,0.0,5.8,437.0
K2-252 b,K2-252,K2,13.81513,0.1041,1.74,0.155,3.68,0.0116,0.0,5.8,639.0
K2-253 b,K2-253,K2,4.00167,0.0506,12.67,1.13,3.29,0.0104,0.0,5.8,1238.0
K2-254 b,K2-254,K2,4.09639,0.0448,1.63,0.145,3.29,0.0104,0.0,5.8,791.0
K2-254 c,K2-254,K2,12.11839,0.0923,2.19,0.195,5.43,0.0171,0.0,5.8,551.0
K2-255 b,K2-255,K2,1.96417,0.0274,2.9,0.259,8.75,0.0275,0.0,5.8,1034.0
K2-256 b,K2-256,K2,5.52011,0.0578,2.63,0.235,7.41,0.0233,0.0,5.8,845.0
K2-257 b,K2-257,K2,1.60588,0.0216,0.83,0.07400000000000001,0.498,0.00157,0.0,5.8,789.0
K2-258 b,K2-258,K2,19.0921,0.149,3.0,0.268,9.27,0.0292,0.0,5.8,831.0
K2-259 b,K2-259,K2,15.48043,0.1271,2.32,0.207,5.99,0.0189,0.0,5.8,795.0
K2-26 b,K2-26,K2,14.5665,0.0962,2.67,0.23800000000000002,7.61,0.0239,0.0,5.8,430.0
K2-260 b,K2-260,K2,2.6266657,0.0404,17.396,1.5519999999999998,451.3186,1.42,0.0,879.5,1957.0
K2-261 b,K2-261,K2,11.63344,0.102,9.527999999999999,0.85,70.87609,0.223,0.39,879.5,1080.0
K2-263 b,K2-263,K2,50.818947,0.2573,2.41,0.215,14.8,0.04657,0.14,879.5,470.0
K2-264 b,K2-264,K2,5.840002,0.050230000000000004,2.231,0.19899999999999998,5.61,0.0176,0.5,879.5,496.0
K2-264 c,K2-264,K2,19.660302,0.11283,2.668,0.23800000000000002,7.6,0.0239,0.45,879.5,331.0
K2-265 b,K2-265,K2,2.369172,0.033760000000000005,1.71,0.153,6.54,0.02058,0.084,879.5,1515.0
K2-266 b,K2-266,K2,0.658524,0.013059999999999999,3.3,0.294,11.26782,0.03545,0.042,879.5,1515.0
K2-266 c,K2-266,K2,7.814,0.0679,0.705,0.063,0.29013,0.00091,0.042,32.4,664.0
K2-266 d,K2-266,K2,14.697,0.1035,2.93,0.261,8.9,0.028,0.047,13.95,538.0
K2-266 e,K2-266,K2,19.482,0.1249,2.73,0.244,14.3,0.044989999999999995,0.043,9.58,490.0
K2-268 b,K2-268,K2,2.151894,0.0308,1.41,0.126,2.57,0.00809,0.251,116.0,1121.0
K2-268 c,K2-268,K2,9.326841,0.0819,2.69,0.24,7.7,0.0242,0.251,116.0,688.0
K2-269 b,K2-269,K2,4.144965,0.0531,1.57,0.14,3.09,0.00972,0.251,116.0,1429.0
K2-27 b,K2-27,K2,6.771315,0.06702000000000001,4.48,0.4,30.9,0.09722,0.251,116.0,902.0
K2-270 b,K2-270,K2,1.543069,0.0247,1.38,0.12300000000000001,2.48,0.0078,0.0,30.1,1203.0
K2-270 c,K2-270,K2,4.400028,0.0497,2.95,0.263,9.01,0.0283,0.0,30.1,848.0
K2-271 b,K2-271,K2,8.562421,0.077,7.28,0.649,41.8,0.131,0.0,30.1,893.0
K2-272 b,K2-272,K2,14.453533,0.1081,2.91,0.26,8.8,0.0277,0.0,30.1,655.0
K2-273 b,K2-273,K2,11.716332,0.0974,4.42,0.39399999999999996,17.9,0.0563,0.0,30.1,672.0
K2-274 b,K2-274,K2,14.129714,0.1064,2.2,0.196,5.48,0.0172,0.0,30.1,589.0
K2-275 b,K2-275,K2,3.280961,0.04,2.24,0.2,5.65,0.0178,0.0,30.1,905.0
K2-275 c,K2-275,K2,8.438756,0.075,2.34,0.209,6.08,0.0191,0.0,30.1,660.0
K2-276 b,K2-276,K2,18.718269,0.1291,3.77,0.336,13.7,0.043,0.0,30.1,583.0
K2-277 b,K2-277,K2,6.326763,0.0675,2.07,0.185,4.94,0.0155,0.0,30.1,958.0
K2-278 b,K2-278,K2,3.334966,0.0488,2.98,0.266,9.17,0.0288,0.0,30.1,1711.0
K2-279 b,K2-279,K2,7.122605,0.067,1.21,0.10800000000000001,1.92,0.00606,0.0,30.1,879.0
K2-28 b,K2-28,K2,2.260455,0.0214,2.32,0.207,5.99,0.0189,0.0,30.1,568.0
K2-280 b,K2-280,K2,19.895202,0.1488,7.67,0.684,45.6,0.144,0.078,42.6,744.0
K2-281 b,K2-281,K2,8.687721,0.0773,8.18,0.73,50.9,0.16,0.078,42.6,665.0
K2-282 b,K2-282,K2,4.169836,0.0499,2.82,0.252,8.35,0.0263,0.078,42.6,1057.0
K2-283 b,K2-283,K2,1.921036,0.0291,3.52,0.314,12.2,0.0383,0.078,42.6,1186.0
K2-284 b,K2-284,K2,4.795069,0.04771,2.78,0.248,8.15,0.0256,0.078,42.6,653.0
K2-285 b,K2-285,K2,3.471745,0.038169999999999996,2.59,0.231,9.68,0.03046,0.0,234.31,1089.0
K2-285 c,K2-285,K2,7.138048,0.0824,3.53,0.315,15.68,0.04933,0.0,50.35,741.0
K2-285 d,K2-285,K2,10.45582,0.1178,2.48,0.221,6.5,0.02045,0.0,24.61,620.0
K2-285 e,K2-285,K2,14.76289,0.18041,1.95,0.174,10.7,0.03367,0.0,10.5,501.0
K2-286 b,K2-286,K2,27.359,0.1768,2.1,0.187,5.06,0.0159,0.478,293.0,347.0
K2-287 b,K2-287,K2,14.893291,0.1206,9.494,0.847,100.11645,0.315,0.478,293.0,804.0
K2-288 B b,K2-288 B,K2,31.393463,0.164,1.9,0.17,4.27,0.0134,0.066,293.0,226.0
K2-289 b,K2-289,K2,13.156969,0.107,9.1,0.812,61.0,0.192,0.066,293.0,753.0
K2-29 b,K2-29,K2,3.2588321,0.04217,13.339,1.19,232.0159,0.73,0.066,293.0,1171.0
K2-290 b,K2-290,K2,9.21165,0.0923,3.06,0.273,10.9,0.0343,0.0,633.0,1230.0
K2-290 c,K2-290,K2,48.36685,0.305,11.276,1.006,246.00042000000002,0.774,0.0,633.0,676.0
K2-291 b,K2-291,K2,2.225177,0.03261,1.589,0.142,6.49,0.020419999999999997,0.0,633.0,795.0
K2-292 b,K2-292,K2,16.9841,0.13,2.63,0.235,24.5,0.07708999999999999,0.04,67.0,795.0
K2-293 b,K2-293,K2,13.1225,0.0451,2.45,0.21899999999999997,6.57,0.0207,0.0,5.8,750.0
K2-294 b,K2-294,K2,2.50387,0.0451,1.66,0.14800000000000002,3.39,0.0107,0.0,5.8,1425.0
K2-295 b,K2-295,K2,4.024867,0.0451,10.054,0.897,106.47305,0.335,0.0,5.8,852.0
K2-3 b,K2-3,K2,10.054626,0.074,1.98,0.177,6.48,0.020390000000000002,0.0,5.8,504.0
K2-3 c,K2-3,K2,24.646582,0.1345,1.56,0.139,2.14,0.00673,0.0,1.77,374.0
K2-3 d,K2-3,K2,44.55646,0.2097,1.53,0.136,2.8,0.00881,0.0,0.8,282.0
K2-30 b,K2-30,K2,4.098503,0.048389999999999996,11.645999999999999,1.0390000000000001,184.02357,0.579,0.0,299.0,1092.0
K2-308 b,K2-308,K2,3.38628,0.022,9.916,0.884,70.6,0.222,0.0,1272.0,460.0
K2-31 b,K2-31,K2,1.25785,0.022,11.882,1.06,563.83042,1.774,0.0,1272.0,460.0
K2-315 b,K2-315,K2,3.1443189,0.0147,0.95,0.085,0.809,0.0025399999999999997,0.0,7.45,460.0
K2-316 b,K2-316,K2,1.133,0.0147,1.33,0.11900000000000001,2.33,0.00733,0.0,77.7,841.0
K2-316 c,K2-316,K2,5.26,0.0582,1.83,0.163,4.01,0.0126,0.0,77.7,423.0
K2-317 b,K2-317,K2,6.22,0.0542,2.93,0.261,8.91,0.028,0.0,77.7,432.0
K2-318 b,K2-318,K2,7.01,0.0911,1.66,0.14800000000000002,3.39,0.0107,0.0,77.7,456.0
K2-319 b,K2-319,K2,26.68,0.1516,2.79,0.249,8.2,0.0258,0.0,77.7,641.0
K2-32 b,K2-32,K2,8.991828,0.08035,4.96,0.44299999999999995,16.5,0.051910000000000005,0.0,77.7,817.0
K2-32 c,K2-32,K2,20.66186,0.1399,2.74,0.244,12.1,0.03807,0.0,25.6,619.0
K2-32 d,K2-32,K2,31.7142,0.1862,3.27,0.292,10.3,0.03241,0.0,14.5,537.0
K2-32 e,K2-32,K2,4.34882,0.049510000000000005,1.01,0.09,1.01,0.00317,0.0697,45.7,698.0
K2-320 b,K2-320,K2,1.995,0.0142,2.62,0.23399999999999999,7.37,0.0232,0.0697,45.7,698.0
K2-321 b,K2-321,K2,2.298,0.041,1.95,0.174,4.46,0.014,0.0697,45.7,701.0
K2-322 b,K2-322,K2,8.205,0.0594,1.92,0.171,4.35,0.0137,0.0697,45.7,635.0
K2-323 b,K2-323,K2,24.93,0.1275,2.1,0.187,5.06,0.0159,0.0697,45.7,318.0
K2-324 b,K2-324,K2,3.262,0.0331,2.43,0.217,6.48,0.0204,0.0697,45.7,707.0
K2-325 b,K2-325,K2,6.93,0.0419,2.2,0.196,5.48,0.0172,0.0697,45.7,423.0
K2-326 b,K2-326,K2,1.256,0.0198,2.28,0.203,5.82,0.0183,0.0697,45.7,1114.0
K2-329 b,K2-329,K2,12.4551225,0.1016,8.676,0.774,82.6358,0.26,0.0697,45.7,650.0
K2-33 b,K2-33,K2,5.424865,0.0409,5.04,0.45,1175.971,3.7,0.0,211.0,850.0
K2-34 b,K2-34,K2,2.995633,0.0426,13.96,1.245,539.67534,1.698,0.0,211.0,1559.0
K2-35 b,K2-35,K2,2.399964,0.031,1.32,0.11800000000000001,2.3,0.007240000000000001,0.13,211.0,979.0
K2-35 c,K2-35,K2,5.608352,0.055,1.93,0.172,4.38,0.0138,0.12,68.0,766.0
K2-36 b,K2-36,K2,1.422614,0.0223,1.43,0.128,3.9,0.01227,0.0,529.0,1224.0
K2-36 c,K2-36,K2,5.340888,0.054,3.2,0.285,7.8,0.02454,0.0,90.0,788.0
K2-37 b,K2-37,K2,4.44117,0.0511,1.61,0.14400000000000002,3.22,0.0101,0.0,213.3,974.0
K2-37 c,K2-37,K2,6.42904,0.0654,2.75,0.245,8.0,0.0252,0.0,130.3,861.0
K2-37 d,K2-37,K2,14.09189,0.1103,2.73,0.244,7.9,0.0249,0.0,45.7,663.0
K2-38 b,K2-38,K2,4.01593,0.050730000000000004,1.906,0.17,19.0698,0.06,0.0,465.9,1184.0
K2-38 c,K2-38,K2,10.56103,0.0964,2.42,0.21600000000000003,9.9,0.03115,0.0,128.3,858.0
K2-39 b,K2-39,K2,4.60543,0.05708,6.277,0.56,28.6047,0.09,0.0,1356.0,1670.0
K2-4 b,K2-4,K2,10.003417,0.078,2.1,0.187,5.06,0.0159,0.08,15.6,563.0
K2-42 b,K2-42,K2,6.68796,0.0617,2.15,0.192,5.27,0.0166,0.07,44.1,939.0
K2-43 b,K2-43,K2,3.471149,0.03784,4.51,0.402,18.5,0.0583,0.07,49.0,939.0
K2-43 c,K2-43,K2,2.198884,0.06,2.42,0.21600000000000003,6.44,0.0203,0.1,646.0,1094.0
K2-44 b,K2-44,K2,5.657,0.06,2.4330000000000003,0.217,6.5,0.0204,0.1,646.0,1211.0
K2-45 b,K2-45,K2,1.7292684,0.0224,6.71,0.599,36.4,0.114,0.1,100.0,889.0
K2-46 b,K2-46,K2,19.1541,0.13821,2.05,0.183,4.86,0.0153,0.07,119.0,889.0
K2-47 b,K2-47,K2,31.6372,0.1779,1.89,0.16899999999999998,4.23,0.0133,0.07,10.7,565.0
K2-48 b,K2-48,K2,20.5065,0.1344,2.24,0.2,5.65,0.0178,0.07,15.3,565.0
K2-49 b,K2-49,K2,2.77065,0.0309,1.93,0.172,4.38,0.0138,0.07,59.0,565.0
K2-5 b,K2-5,K2,5.73594,0.0532,1.91,0.17,4.31,0.0136,0.07,24.1,565.0
K2-5 c,K2-5,K2,10.93241,0.0818,2.26,0.20199999999999999,5.73,0.018,0.07,10.2,456.0
K2-50 b,K2-50,K2,8.7529,0.0705,1.59,0.142,3.15,0.00993,0.07,18.8,2004.0
K2-52 b,K2-52,K2,3.535055,0.054,18.0,1.6059999999999999,45700.0,144.0,0.07,1124.0,2004.0
K2-53 b,K2-53,K2,12.20772,0.098,2.6,0.23199999999999998,7.27,0.0229,0.07,52.5,665.0
K2-54 b,K2-54,K2,9.7843,0.0671,1.15,0.10300000000000001,1.6,0.00505,0.07,6.1,615.0
K2-55 b,K2-55,K2,2.849258,0.03486,3.82,0.341,14.0,0.044,0.07,115.0,615.0
K2-57 b,K2-57,K2,9.0063,0.0746,2.1,0.187,5.06,0.0159,0.0,24.1,615.0
K2-58 b,K2-58,K2,7.05254,0.0692,2.68,0.239,7.65,0.0241,0.0,118.0,615.0
K2-58 c,K2-58,K2,2.53726,0.035,1.62,0.145,3.26,0.0102,0.0,462.0,615.0
K2-58 d,K2-58,K2,22.8827,0.1517,1.71,0.153,3.57,0.0112,0.0,24.6,615.0
K2-59 b,K2-59,K2,20.6921,0.1354,2.41,0.215,6.39,0.0201,0.0,17.1,615.0
K2-59 c,K2-59,K2,11.2954,0.0905,2.3,0.205,5.9,0.0186,0.0,38.3,615.0
K2-6 b,K2-6,K2,30.94191,0.1898,2.5,0.223,6.8,0.0214,0.0,28.6,615.0
K2-60 b,K2-60,K2,3.00265,0.045,7.656000000000001,0.6829999999999999,135.39558,0.426,0.0,1212.0,1400.0
K2-61 b,K2-61,K2,2.57302,0.0392,2.48,0.221,6.71,0.0211,0.0,1686.0,1372.0
K2-62 b,K2-62,K2,6.67202,0.0636,2.14,0.191,5.22,0.0164,0.0,66.0,1372.0
K2-62 c,K2-62,K2,16.1966,0.1148,2.14,0.191,5.22,0.0164,0.0,20.5,1372.0
K2-63 b,K2-63,K2,20.257,0.1627,3.22,0.287,10.5,0.0329,0.0,188.0,1372.0
K2-63 c,K2-63,K2,25.4556,0.189,3.9,0.348,14.5,0.0455,0.0,139.0,1372.0
K2-64 b,K2-64,K2,6.53044,0.0619,2.07,0.185,4.94,0.0155,0.0,98.0,1372.0
K2-65 b,K2-65,K2,12.6475,0.1014,1.58,0.141,3.12,0.00982,0.0,45.0,1372.0
K2-66 b,K2-66,K2,5.06963,0.059829999999999994,2.49,0.222,21.3,0.06702000000000001,0.0,840.0,1372.0
K2-68 b,K2-68,K2,8.05428,0.0708,1.58,0.141,3.12,0.00982,0.11,41.0,651.0
K2-69 b,K2-69,K2,7.06599,0.0591,2.32,0.207,5.99,0.0189,0.11,17.9,651.0
K2-7 b,K2-7,K2,28.67992,0.1814,2.67,0.23800000000000002,7.61,0.0239,0.11,125.0,651.0
K2-70 b,K2-70,K2,13.97896,0.1112,2.89,0.258,8.7,0.0274,0.11,62.0,631.0
K2-71 b,K2-71,K2,6.98541,0.0559,2.15,0.192,5.27,0.0166,0.11,13.4,631.0
K2-72 b,K2-72,K2,5.577212,0.04,1.08,0.096,1.28,0.00403,0.11,8.5,631.0
K2-72 c,K2-72,K2,15.189034,0.078,1.16,0.10300000000000001,1.65,0.00521,0.11,2.2,631.0
K2-72 d,K2-72,K2,7.760178,0.05,1.01,0.09,1.01,0.00317,0.11,5.4,631.0
K2-72 e,K2-72,K2,24.158868,0.106,1.29,0.115,2.21,0.006959999999999999,0.11,1.2,631.0
K2-73 b,K2-73,K2,7.49543,0.07619,2.45,0.21899999999999997,6.57,0.0207,0.14,213.0,631.0
K2-74 b,K2-74,K2,19.5666,0.1402,2.31,0.20600000000000002,5.95,0.0187,0.14,59.1,631.0
K2-75 b,K2-75,K2,7.8142,0.081,2.67,0.23800000000000002,7.61,0.0239,0.14,430.0,631.0
K2-75 c,K2-75,K2,18.311,0.1429,2.77,0.247,8.1,0.0255,0.14,138.0,631.0
K2-77 b,K2-77,K2,8.199796,0.076,2.3,0.205,603.877,1.9,0.14,58.0,631.0
K2-79 b,K2-79,K2,10.99573,0.0987,3.69,0.32899999999999996,13.2,0.0415,0.06,186.0,631.0
K2-8 b,K2-8,K2,10.35239,0.0856,3.58,0.319,12.5,0.0394,0.06,37.7,631.0
K2-8 c,K2-8,K2,5.06416,0.0532,2.41,0.215,6.39,0.0201,0.06,97.8,801.0
K2-80 b,K2-80,K2,19.0918,0.135,2.01,0.179,4.7,0.0148,0.06,32.5,979.0
K2-80 c,K2-80,K2,5.605,0.0596,1.47,0.131,2.76,0.00869,0.06,166.0,979.0
K2-80 d,K2-80,K2,28.867253,0.059,2.552,0.228,7.04,0.0222,0.06,62.9,979.0
K2-81 b,K2-81,K2,6.102325,0.059,1.97,0.17600000000000002,4.54,0.0143,0.06,62.9,979.0
K2-83 b,K2-83,K2,2.74697,0.030139999999999997,1.244,0.111,2.08,0.006540000000000001,0.07,41.5,979.0
K2-83 c,K2-83,K2,9.99767,0.07131,1.483,0.132,2.8,0.00882,0.06,7.42,979.0
K2-84 b,K2-84,K2,6.4215,0.0665,2.41,0.215,6.39,0.0201,0.24,178.0,979.0
K2-84 c,K2-84,K2,27.86,0.1768,2.03,0.18100000000000002,4.78,0.015,0.24,25.3,979.0
K2-85 b,K2-85,K2,0.684533,0.012629999999999999,1.01,0.09,1.01,0.00317,0.24,479.0,979.0
K2-86 b,K2-86,K2,8.77683,0.077,1.96,0.175,4.5,0.0142,0.26,78.0,979.0
K2-87 b,K2-87,K2,9.726618,0.094,7.6,0.6779999999999999,44.9,0.141,0.26,85.0,979.0
K2-88 b,K2-88,K2,4.6122,0.0345,1.23,0.11,2.04,0.00642,0.26,7.8,314.0
K2-89 b,K2-89,K2,1.096026,0.01462,0.615,0.055,0.17,0.00053,0.15,78.0,314.0
K2-9 b,K2-9,K2,18.4498,0.091,2.25,0.201,5.69,0.0179,0.07,1.36,314.0
K2-90 b,K2-90,K2,13.733314,0.096,2.6,0.23199999999999998,7.27,0.0229,0.07,10.2,502.0
K2-90 c,K2-90,K2,2.900706,0.035,1.3,0.11599999999999999,2.24,0.00705,0.19,80.8,383.0
K2-91 b,K2-91,K2,1.419549,0.0164,1.1,0.098,1.37,0.0043,0.09,46.0,383.0
K2-95 b,K2-95,K2,10.134016,0.0696,3.88,0.34600000000000003,14.3,0.0451,0.16,600.0,383.0
K2-97 b,K2-97,K2,8.406726,0.086,10.61,0.9470000000000001,152.5584,0.48,0.22,600.0,1499.0
K2-98 b,K2-98,K2,10.136448,0.0974,5.2,0.46399999999999997,32.2,0.10131,0.0,600.0,1092.0
K2-99 b,K2-99,K2,18.251985,0.1597,11.73,1.046,308.2951,0.97,0.19,600.0,1113.0
KELT-1 b,KELT-1,KELT,1.217514,0.024659999999999998,12.442,1.11,8654.15,27.23,0.0099,600.0,1377.0
KELT-10 b,KELT-10,KELT-South,4.1662739,0.0525,15.681,1.399,215.80657000000002,0.679,0.0007,600.0,1377.0
KELT-11 b,KELT-11,KELT-South,4.7361,0.06229,15.132,1.35,54.34893,0.171,0.0007,1433.0,1712.0
KELT-12 b,KELT-12,KELT-North,5.031623,0.06708,19.952,1.78,301.9385,0.95,0.0,1749.0,1800.0
KELT-14 b,KELT-14,KELT-South,1.7100566,0.03005,19.537,1.743,408.09372,1.284,0.0,3152.0,1970.0
KELT-15 b,KELT-15,KELT-South,3.32944,0.046130000000000004,19.504,1.74,416.3573,1.31,0.0,3152.0,1642.0
KELT-16 b,KELT-16,KELT,0.9689951,0.02044,15.860999999999999,1.415,874.0325,2.75,0.0,3152.0,2453.0
KELT-17 b,KELT-17,KELT,3.0801716,0.04881,17.094,1.525,416.3573,1.31,0.0,3152.0,2087.0
KELT-18 b,KELT-18,KELT-North,2.8717518,0.0455,17.598,1.57,375.0394,1.18,0.0,3152.0,2085.0
KELT-19 A b,KELT-19 A,KELT,4.6117093,0.0637,21.409000000000002,1.91,1293.5681,4.07,0.0,2340.0,1935.0
KELT-2 A b,KELT-2 A,KELT,4.11379,0.054970000000000005,15.132,1.35,540.311,1.7,0.0,4362.5,2262.0
KELT-20 b,KELT-20,KELT-North,3.4741085,0.0542,19.515,1.7409999999999999,1074.90106,3.382,0.0,4362.5,2262.0
KELT-21 b,KELT-21,KELT-North,3.6127647,0.052239999999999995,17.777,1.5859999999999999,1242.7153,3.91,0.0,2950.0,2051.0
KELT-23 A b,KELT-23 A,KELT-North,2.255251,0.03302,14.83,1.3230000000000002,298.12453999999997,0.938,0.0,991.18,1561.0
KELT-24 b,KELT-24,KELT-North,5.5514926,0.06969,14.258,1.272,1646.3594,5.18,0.077,750.9,1459.0
KELT-3 b,KELT-3,KELT,2.70339,0.04123,17.486,1.56,616.5902,1.94,0.0,44900.0,1816.0
KELT-4 A b,KELT-4 A,KELT,2.9895932,0.04317,19.044,1.699,286.68266,0.902,0.0,44900.0,1823.0
KELT-6 b,KELT-6,KELT,7.8457,0.07939,14.572000000000001,1.3,165.2716,0.52,0.22,44900.0,1313.0
KELT-6 c,KELT-6,Multiple Observatories,1276.0,2.39,13.0,1.16,1179.1493,3.71,0.21,44900.0,2048.0
KELT-7 b,KELT-7,KELT,2.73477,0.04415,17.934,1.6,441.7837,1.39,0.0,44900.0,2048.0
KELT-8 b,KELT-8,KELT,3.24406,0.0455,18.159000000000002,1.62,209.7678,0.66,0.04,44900.0,1675.0
KELT-9 b,KELT-9,KELT-North,1.4811235,0.03462,21.195999999999998,1.891,915.3504,2.88,0.0,44900.0,4050.0
KIC 10001893 b,KIC 10001893,Kepler,0.2197,0.8,5.5,0.491,25.9,0.0816,0.0603,2.14,308.0
KIC 10001893 c,KIC 10001893,Kepler,0.32528,0.8,5.5,0.491,25.9,0.0816,0.0603,2.14,308.0
KIC 10001893 d,KIC 10001893,Kepler,0.81161,0.8,5.5,0.491,25.9,0.0816,0.0603,2.14,308.0
KIC 10525077 b,KIC 10525077,Kepler,854.083,0.8,5.5,0.491,25.9,0.0816,0.0603,2.14,308.0
KIC 3558849 b,KIC 3558849,Kepler,1322.3,0.8,6.9,0.616,38.1,0.12,0.0603,2.14,308.0
KIC 5095269 b,KIC 5095269,Kepler,237.68977,0.8,12.6,1.13,2445.06619,7.693,0.0603,2.14,308.0
KIC 5437945 b,KIC 5437945,Kepler,440.7813,1.1455,6.4,0.5710000000000001,33.6,0.106,0.0,2.14,308.0
KIC 5951458 b,KIC 5951458,Kepler,1320.1,1.4062,6.6,0.589,35.4,0.111,0.15,3.36,264.0
KIC 7917485 b,KIC 7917485,Kepler,840.0,1.4062,12.4,1.1,3750.394,11.8,0.15,3.36,264.0
