,pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt
58,BD-08 2823 c,BD-08 2823,La Silla Observatory,237.6,0.68,12.5,104.0,0.19,98.09,370.0
59,BD-10 3166 b,BD-10 3166,W. M. Keck Observatory,3.48777,0.04,14.1,187.5197,0.02,98.09,370.0
60,BD-11 4672 b,BD-11 4672,La Silla Observatory,1634.0,2.36,14.1,206.5895,0.05,98.09,370.0
61,BD-11 4672 c,BD-11 4672,Roque de los Muchachos Observatory,74.2,0.3,4.04,15.37,0.4,98.09,370.0
62,BD-13 2130 b,BD-13 2130,La Silla Observatory,714.2999900000001,1.66,12.5,3108.3774,0.21,98.09,370.0
63,BD-17 63 b,BD-17 63,La Silla Observatory,655.6,1.34,12.8,1620.9,0.54,98.09,370.0
64,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,W. M. Keck Observatory,10037.5,2.6,12.4,3337.1,0.25,98.09,370.0
65,CHXR 73 b,CHXR 73,Hubble Space Telescope,8.9891,210.0,12.3,3994.486,0.25,98.09,2600.0
66,CI Tau b,CI Tau,Multiple Observatories,8.9891,440.0,12.4,3686.828,0.25,98.09,2600.0
67,CT Cha b,CT Cha,Paranal Observatory,1.5089556999999998,440.0,24.66,5403.0,0.0,98.09,2600.0
